Plant,Cluster,Part1,Demand
1150,E3,MG1,28
1150,E3,MG2,20
1150,E3,MG3,13
1150,E4,MG1,61
1150,E4,MG2,65
1150,N4,MG1,30
1150,N4,MG2,38
1150,N4,MG3,13
1150,N5,MG1,40
1150,N5,MG2,35
1150,N5,MG3,17
1150,N6,MG1,17
1150,N6,MG2,23
1150,N6,MG3,3
1150,W3,MG1,81
1150,W3,MG2,105
1150,W3,MG3,14
1150,W4,MG1,48
1150,W4,MG2,56
1150,W4,MG3,3
1150,W3_1,MG1,13
1150,W3_1,MG2,11
