Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
1150,4000,46031500,3000,32 MA,S8,S8,,32 MA,EXPORT,18 FT,,,,,1150/1180,30000,0.1
1140,4000,40031500,3333,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.3333
1150,4000,40181500,5000,32 MA,S8,S8,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0.5
1140,4000,47051500,1667,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.1667
1140,4000,32061300,1000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,6000,0.16666666666666666
1140,4000,34051500,46,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,5000,0.0092
1140,4000,34069100,50,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,8000,0.00625
1120,4000,34071000,167,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,7000,0.023857142857142858
1140,4000,36011300,2000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,7000,0.2857142857142857
1140,4003,36011300,1000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,7000,0.14285714285714285
1150,4001,36011300,3667,32 MA,S7_1,S7,,32 MA,EXPORT,18 FT,,,,,1150/1180,7000,0.5238571428571429
1140,4001,36021300,150,32 MA,S2,S2,,32 MA,EXPORT,18 FT,,,,,1140,8000,0.01875
1150,4001,36021300,34,32 MA,S7_1,S7,,32 MA,EXPORT,18 FT,,,,,1150/1180,8000,0.00425
1140,4001,36049100,1167,32 MA,S2,S2,,32 MA,EXPORT,18 FT,,,,,1140,8000,0.145875
1140,4003,36049100,500,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,8000,0.0625
1140,4000,36082000,2000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.2
1140,4000,36091500,817,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.0817
1150,4000,38031500,667,32 MA,S8,S8,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0.0667
1140,4000,39031500,510,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.051
1140,4000,39033500,667,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.0667
1120,4000,31011000,1,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,3000,0.0003333333333333333
1120,4000,31021000,4,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,3000,0.0013333333333333333
1120,4003,31031300,1333,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,3000,0.44433333333333336
