Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
1140,400241,18168640,100,32 MA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1140,1200,0.08333333333333333
1140,400241,38062500,100,32 MA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1140,10000,0.01
1140,400271,16340880,400,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1140,1020,0.39215686274509803
1140,400286,20856240,5500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,3882,1.416795466254508
1140,400286,20856500,5500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,2986,1.841929002009377
1140,400295,20136130,1800,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1140,2968,0.6064690026954178
1140,400295,27165200,1800,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1140,3561,0.5054759898904801
1140,400299,18360270,2200,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,1629,1.350521792510743
1140,400304,20887900,4200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,1800,2.3333333333333335
1140,400304,28374460,2000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,1981,1.0095911155981827
1140,400311,20856240,8000,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,3882,2.0607934054611023
1140,400311,20856500,8000,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,2986,2.679169457468185
1140,400314,20195000,1700,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,2687,0.6326758466691478
1140,400314,20887920,3800,32 SA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,1920,1.9791666666666667
1140,400314,28373000,1300,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,1981,0.6562342251388188
1140,400314,28374420,700,32 SA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,1480,0.47297297297297297
1140,400316,20084400,6000,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1140,2475,2.4242424242424243
1140,400316,20173000,6000,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1140,2671,2.2463496817671285
1140,400335,21178040,6000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,4685,1.2806830309498398
1150,104687,11170680,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,300,0.6666666666666666
1150,104687,11176980,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,300,0.6666666666666666
1150,104687,16110280,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,500,0.4
1150,104687,50084400,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,9000,0.022222222222222223
1150,104932,27160100,600,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,0.16849199663016007
1150,104932,27160200,600,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,0.16849199663016007
1150,104932,27165200,4000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,1.1232799775344005
1150,104932,27166230,4000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,1.1232799775344005
1150,400011,26143040,900,32 MA,N5,N5,,32 MA,OEM,32 MA,,,,,1150/1180,2076,0.43352601156069365
1150,400020,21173600,2500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.5336179295624333
1150,400020,74065500,5,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,14000,0.00035714285714285714
1150,400021,20856240,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3882,1.287995878413189
1150,400021,20856500,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,2986,1.6744809109176155
1150,400021,21173600,17000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,3.6286019210245466
1150,400021,40084400,1300,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,10000,0.13
1150,400021,74065500,1,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,14000,0.00007142857142857143
1150,400024,13098360,30,18 FT,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,100,0.3
1150,400031,11130480,690,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,230,3
1150,400031,11136980,345,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,230,1.5
1150,400031,12156210,12,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,90,0.13333333333333333
1150,400031,12166880,60,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,500,0.12
1150,400031,12168180,45,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,488,0.09221311475409837
1150,400031,50084400,105,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,9000,0.011666666666666667
1150,400034,12166880,75,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,500,0.15
1150,400034,50084400,75,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,9000,0.008333333333333333
1150,400035,11130480,805,32 MA,E3,E3,,32 MA,OEM,32 MA,,,,,1150/1180,230,3.5
1150,400035,11136980,345,32 MA,E3,E3,,32 MA,OEM,32 MA,,,,,1150/1180,230,1.5
1150,400038,20186020,3000,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,2139,1.402524544179523
1150,400038,20856120,3000,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,3284,0.9135200974421437
1150,400057,15137780,175,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,213,0.8215962441314554
1150,400057,29161160,96,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,64,1.5
1150,400058,21173600,2500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.5336179295624333
1150,400058,41514300,2000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180
1150,400059,21173600,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
1150,400061,16110280,80,32 MA,S6,S6,,32 MA,OEM,18 FT,,,,,1150/1180,500,0.16
1150,400061,16126670,350,32 MA,S6,S6,,32 MA,OEM,18 FT,,,,,1150/1180,540,0.6481481481481481
1150,400062,29147260,6,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.23076923076923078
1150,400062,29161120,18,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,51,0.35294117647058826
1150,400063,15137780,40,18 FT,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,160,0.25
1150,400066,25197240,4,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,16,0.25
1150,400069,40856400,833,,,,,,,
1150,400075,26136420,3500,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,4056,0.8629191321499013
1150,400075,26143040,1800,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,2076,0.8670520231213873
1150,400078,12166880,100,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,500,0.2
1150,400078,50084400,100,32 MA,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,9000,0.011111111111111112
1150,400126,11130480,115,32 MA,N4_1,N4,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
1150,400191,11130480,115,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
1150,400191,11136480,115,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
1150,400286,20856240,3000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3882,0.7727975270479135
1150,400286,20856500,3000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,2986,1.0046885465505693
1150,400295,21178040,6000,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.2806830309498398
1150,400307,29147260,4,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.15384615384615385
1150,400307,29147400,16,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.6153846153846154
1150,400311,21173600,15000,32 MA,S7,S7,,32 MA,OEM,18 FT,,,,,1150/1180,4685,3.2017075773746
1150,400329,13078330,500,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,240,2.0833333333333335
1150,400329,33288500,500,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,7000,0.07142857142857142
1150,400335,21173600,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
1150,400335,21178040,2000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.42689434364994666
1150,400350,21173600,5000,32 MA,W3_1,W3,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
1160,104687,11332580,300,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1160,200,1.5
1160,104687,11333380,300,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1160,200,1.5
1160,104687,11371780,60,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1160,260,0.23076923076923078
1160,104687,11372580,144,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1160,260,0.5538461538461539
1160,400006,16341000,1600,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,547,2.9250457038391224
1160,400031,11331980,800,18 FT,S1,S1,,32 MA,OEM,18 FT,,,,,1160,100,8
1160,400031,11332580,800,18 FT,S1,S1,,32 MA,OEM,18 FT,,,,,1160,100,8
1160,400034,12371970,1000,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,360,2.7777777777777777
1160,400034,16393001,250,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,360,0.6944444444444444
1160,400060,18360230,1500,18 FT,S3,S3,,32 MA,OEM,18 FT,,,,,1160,650,2.3076923076923075
1160,400073,18381581,700,18 FT,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,300,2.3333333333333335
1160,400074,16361041,1800,18 FT,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,350,5.142857142857143
1160,400074,16370541,1040,18 FT,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,425,2.447058823529412
1160,400077,19364541,2800,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,800,3.5
1160,400077,19364721,2000,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,950,2.1052631578947367
1160,400078,11331980,800,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,200,4
1160,400078,11332580,700,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,200,3.5
1160,400121,18360230,1000,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1160,1501,0.6662225183211192
1160,400171,18340821,2000,18 FT,S1_1,S1,,32 MA,OEM,18 FT,,,,,1160,500,4
1160,400182,18382541,1500,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,800,1.875
1160,400182,18390181,500,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,876,0.5707762557077626
1160,400186,16360501,700,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1160,400,1.75
1160,400186,18382521,200,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1160,400,0.5
1160,400186,18390201,2500,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1160,400,6.25
1160,400186,19364701,700,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1160,400,1.75
1160,400191,11331980,200,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,200,1
1160,400191,11332580,100,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,200,0.5
1160,400191,18391221,4000,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1160,784,5.1020408163265305
1160,400211,18311121,2000,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,1119,1.7873100983020553
1160,400211,18340561,2000,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,942,2.1231422505307855
1160,400211,18340861,2600,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,1033,2.5169409486931267
1160,400211,18381141,3000,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,800,3.75
1160,400303,11331980,1600,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1160,200,8
1160,400303,11332580,2500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1160,200,12.5
1160,400323,18390181,2400,32 SA,N1,N1,,32 MA,OEM,32 MA,,,,,1160,876,2.73972602739726
1160,400331,18382041,4800,32 SA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1160,913,5.257393209200438
1170,400035,11331980,800,32 MA,E1,E1,,32 MA,OEM,32 MA,,,,,1170/1190,200,4
1170,400035,11332580,1400,32 MA,E1,E1,,32 MA,OEM,32 MA,,,,,1170/1190,200,7
1170,400126,11331980,600,32 MA,N1_1,N1,,32 MA,OEM,32 MA,,,,,1170/1190,200,3
1170,400126,11332580,700,32 MA,N1_1,N1,,32 MA,OEM,32 MA,,,,,1170/1190,200,3.5
1170,400126,25389080,200,32 MA,N1_1,N1,,32 MA,OEM,32 MA,,,,,1170/1190,180,1.1111111111111112
1170,400196,11331980,161,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1170/1190,200,0.805
1170,400196,11332580,112,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1170/1190,200,0.56
1170,400196,25395480,110,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1170/1190,180,0.6111111111111112
1180,400021,21173600,8000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.7075773745997866
1180,400074,16331621,250,18 FT,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,180,1.3888888888888888
1180,400076,16361181,2000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,448,4.464285714285714
1180,400076,18360201,3000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1217,2.4650780608052587
1180,400076,18381161,6000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,7.5
1180,400171,16350621,1300,18 FT,S8,S8,,32 MA,OEM,18 FT,,,,,1150/1180,300,4.333333333333333
1180,400211,18340561,8000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,942,8.492569002123142
1180,400211,18360201,2000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1217,1.6433853738701725
1180,400211,18381081,8500,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,10.625
1180,400211,18381141,3500,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,4.375
1180,400286,21173600,20000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,4.268943436499466
1180,400304,28374460,2700,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1981,1.3629480060575467
1180,400314,28374480,6700,32 SA,N6,N6,,32 MA,OEM,32 MA,,,,,1150/1180,1368,4.89766081871345
1190,400003,20626120,4400,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1170/1190,2036,2.161100196463654
1190,400003,20695220,4300,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1170/1190,1600,2.6875
1190,400058,20139330,200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1170/1190,2968,0.0673854447439353
1190,400058,27169330,200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1170/1190,3561,0.05616399887672002
1190,400311,21173600,19000,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1170/1190,4685,4.055496264674493
1190,400334,21173600,15000,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1170/1190,4685,3.2017075773746
1140,4000,26136420,1000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,4056,0.2465483234714004
1140,4000,26134820,4,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,3500,0.001142857142857143
1140,4000,26133030,481,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,3912,0.12295501022494887
