Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1190,7003,21111320,26,32 MA,W1,W1,7000,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.005
1190,7004,21111320,25,32 MA,W1,W1,7000,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.004807692307692308
1190,7051,21111320,17,32 MA,W1,W1,7051,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.003269230769230769
1190,7054,21111320,26,32 MA,W1,W1,7000,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.005
1190,7102,21111320,47,32 MA,W1,W1,7102,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.009038461538461539
1190,7103,21111320,82,32 MA,W1,W1,7150,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.015769230769230768
1190,7104,21111320,55,32 MA,W1,W1,7150,32 MA,DEPOT,18 FT,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.010576923076923078
1190,7105,21111320,31,32 MA,W1,W1,8150,32 MA,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,32 MA,5200,0.005961538461538462
1190,7150,21111320,321,32 MA,W1,W1,7150,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.06173076923076923
1190,7151,21111320,122,32 MA,W1,W1,7150,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.02346153846153846
1190,7152,21111320,197,32 MA,W1,W1,7152,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.037884615384615385
1190,7154,21111320,11,32 MA,W1,W1,7150,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.0021153846153846153
1190,7155,21111320,31,32 MA,W1,W1,7150,32 MA,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,32 MA,5200,0.005961538461538462
1190,7161,21111320,27,32 MA,W1,W1,7250,32 MA,DEPOT,32 MA,W2,W2,32 MA,DEPOT,1170/1190,32 MA,5200,0.005192307692307692
1190,7250,21111320,215,32 MA,W2,W2,7250,32 MA,DEPOT,32 MA,W2,W2,32 MA,DEPOT,1170/1190,32 MA,5200,0.041346153846153845
1190,7251,21111320,27,32 MA,W2,W2,7250,32 MA,DEPOT,32 MA,W2,W2,32 MA,DEPOT,1170/1190,32 MA,5200,0.005192307692307692
1190,7301,21111320,27,32 MA,W2,W2,7250,32 MA,DEPOT,32 MA,W2,W2,32 MA,DEPOT,1170/1190,32 MA,5200,0.005192307692307692
1190,7304,21111320,10,32 MA,W2,W2,7250,32 MA,DEPOT,32 MA,W2,W2,32 MA,DEPOT,1170/1190,32 MA,5200,0.0019230769230769232
1190,8001,21111320,57,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.03257142857142857
1190,8002,21111320,79,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.045142857142857144
1190,8003,21111320,92,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.052571428571428575
1190,8005,21111320,63,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.036
1190,8006,21111320,73,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.04171428571428572
1190,8010,21111320,246,18 FT,S2,S2,8010,18 FT,DEPOT,18 FT,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.14057142857142857
1190,8051,21111320,29,18 FT,S2,S2,7150,18 FT,DEPOT,32 MA,W1,W1,32 MA,DEPOT,1170/1190,18 FT,1750,0.01657142857142857
1190,8052,21111320,10,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.005714285714285714
1190,8053,21111320,17,18 FT,S2,S2,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.009714285714285713
1190,8054,21111320,5,18 FT,S2,S2,8010,18 FT,DEPOT,32 MA,S2,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.002857142857142857
1190,8055,21111320,27,18 FT,S2,S2,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.015428571428571429
1190,8103,21111320,73,18 FT,S2_1,S2,8110,18 FT,DEPOT,32 MA,S2_1,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.04171428571428572
1190,8104,21111320,23,18 FT,S2_1,S2,8110,18 FT,DEPOT,32 MA,S2_1,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.013142857142857144
1190,8105,21111320,38,18 FT,S2_1,S2,8110,18 FT,DEPOT,32 MA,S2_1,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.021714285714285714
1190,8107,21111320,39,18 FT,S2_1,S2,8110,18 FT,DEPOT,32 MA,S2_1,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.022285714285714287
1190,8110,21111320,335,18 FT,S2_1,S2,8110,18 FT,DEPOT,18 FT,S2_1,S2,18 FT,DEPOT,1170/1190,18 FT,1750,0.19142857142857142
1190,8150,21111320,236,18 FT,S3,S3,8150,18 FT,DEPOT,18 FT,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.13485714285714287
1190,8151,21111320,72,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.04114285714285714
1190,8155,21111320,17,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.009714285714285713
1190,8156,21111320,61,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.03485714285714286
1190,8251,21111320,5,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.002857142857142857
1190,8252,21111320,27,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.015428571428571429
1190,8253,21111320,11,18 FT,S3,S3,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.006285714285714286
1190,8254,21111320,5,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.002857142857142857
1190,8255,21111320,45,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.025714285714285714
1190,8257,21111320,10,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.005714285714285714
1190,8258,21111320,5,18 FT,S3,S3,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.002857142857142857
1190,8259,21111320,35,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.02
1190,8261,21111320,20,18 FT,S3,S3,8150,18 FT,DEPOT,32 MA,S3,S3,18 FT,DEPOT,1170/1190,18 FT,1750,0.011428571428571429
1190,8300,21111320,446,18 FT,S1_1,S1,8300,18 FT,DEPOT,18 FT,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.25485714285714284
1190,8301,21111320,57,18 FT,S1_1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.03257142857142857
1190,8302,21111320,23,18 FT,S1_1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.013142857142857144
1190,8303,21111320,38,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.021714285714285714
1190,8304,21111320,27,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.015428571428571429
1190,8305,21111320,43,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.02457142857142857
1190,8306,21111320,10,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.005714285714285714
1190,8313,21111320,49,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.028
1190,8315,21111320,24,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.013714285714285714
1190,8351,21111320,89,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.05085714285714286
1190,8352,21111320,35,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.02
1190,8353,21111320,26,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.014857142857142857
1190,8354,21111320,51,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.029142857142857144
1190,8355,21111320,25,18 FT,S1,S1,8300,18 FT,DEPOT,32 MA,S1_1,S1,18 FT,DEPOT,1170/1190,18 FT,1750,0.014285714285714285
1190,5001,21112820,253,32 MA,N1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.04865384615384615
1190,5002,21112820,125,32 MA,N1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.02403846153846154
1190,5004,21112820,93,32 MA,N1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.017884615384615384
1190,5006,21112820,83,32 MA,N1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.01596153846153846
1190,5040,21112820,538,32 MA,N3,N3,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.10346153846153847
1190,5050,21112820,549,32 MA,N2,N2,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.10557692307692308
1190,5051,21112820,32,32 MA,N3,N3,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.006153846153846154
1190,5052,21112820,109,32 MA,N2,N2,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.020961538461538462
1190,5053,21112820,18,32 MA,N2,N2,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.0034615384615384616
1190,5054,21112820,59,32 MA,N1,N1,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.011346153846153846
1190,5055,21112820,26,32 MA,N2,N2,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.005
1190,5061,21112820,54,32 MA,N2,N2,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.010384615384615384
1190,5071,21112820,49,32 MA,N1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.009423076923076923
1190,5102,21112820,64,32 MA,N3,N3,5120,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.012307692307692308
1190,5103,21112820,27,32 MA,N3,N3,5120,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.005192307692307692
1190,5107,21112820,16,32 MA,N3,N3,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.003076923076923077
1190,5108,21112820,5,32 MA,N3,N3,5120,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.0009615384615384616
1190,5115,21112820,11,32 MA,N1_1,N1,5040,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.0021153846153846153
1190,5120,21112820,207,32 MA,N3,N3,5120,32 MA,DEPOT,32 MA,N3,N3,32 MA,DEPOT,1170/1190,32 MA,5200,0.03980769230769231
1190,5151,21112820,51,32 MA,N1_1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.009807692307692307
1190,5152,21112820,62,32 MA,N1_1,N1,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.011923076923076923
1190,5155,21112820,5,32 MA,N1_1,N1,6200,32 MA,DEPOT,32 MA,E1,E1,32 MA,DEPOT,1170/1190,32 MA,5200,0.0009615384615384616
1190,5156,21112820,5,32 MA,W2,W2,5050,32 MA,DEPOT,32 MA,N2,N2,32 MA,DEPOT,1170/1190,32 MA,5200,0.0009615384615384616
