Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1110,1110,S1,S1_1,32 MA,400063,CHINNA,SG2,1,7
1130,1130,S5,S5_1,18 FT,8352,VARUNA,SG1,1,3
1130,1130,S5,S5_1,18 FT,8353,VARUNA,SG1,1,5
1130,1130,S5,S5_1,18 FT,8354,VARUNA,SG2,1,9
1130,1130,S5,S5_1,18 FT,8356,VARUNA,SG2,1,6
1120,1120,N7,N7,32 SA,400025,EAST INDIA,SG1,1,4
1140,1140,W1,W1,32 MA,400241,RCI,SG2,1,6
1160,1160,W1,W1,32 SA,400006,LGB,SG1,1,2
1160,1160,W1,W1,32 MA,400191,RCI,SG2,1,8
1150,1150/1180,N4,N4,32 MA,400286,LGB,SG1,1,1
1140,1140,W1,W1,32 MA,400329,SWASTIK,SG2,1,10
1130,1130,S5,S5_2,18 FT,8102,MEGA,SG2,1,8
1150,1150/1180,N4,N4,32 MA,400335,LGB,SG2,1,9
1130,1130,W6,W6,32 MA,104687,SWASTIK,SG1,1,4
1110,1110,S1,S1_1,18 FT,8301,ILAN,SG1,1,2
1150,1150/1180,N4,N4_1,32 MA,5153,EXPRESS,SG2,1,6
1110,1110,S1,S1,18 FT,400024,MEGA,SG1,1,2
1110,1110,S1,S1,18 FT,400054,MEGA,SG2,1,10
1130,1130,S5,S5,18 FT,8155,KTC,SG2,1,6
1130,1130,S5,S5,18 FT,8156,ANAND,SG1,1,3
1130,1130,S5,S5,18 FT,8255,ANAND,SG1,1,5
1130,1130,S5,S5,18 FT,8257,ANAND,SG2,1,7
1140,1140,W1,W1,32 SA,400038,LGB,SG1,1,3
1160,1160,N2,N2,32 MA,400303,DRS,SG1,1,2
1130,1130,W6,W6,32 MA,7251,EXPRESS,SG2,1,10
1140,1140,W2,W2,32 MA,7252,RCI,SG1,1,2
1110,1110,S2,S2_1,32 MA,4001,EXPRESS,SG1,1,3
1160,1160,N1,N1,32 SA,400323,NSTCL,SG2,1,6
1130,1130,E6,E6,32 MA,6001,ANAND,SG1,1,2
1130,1130,W6,W6,32 MA,7157,LGB,SG1,1,5
1130,1130,E6,E6,32 MA,6003,KAPOOR,SG1,1,5
1130,1130,W6,W6,32 MA,7154,LGB,SG1,1,2
1120,1120,S4,S4,32 MA,400310,EXPRESS,SG1,1,1
1150,1150/1180,S6,S6_1,18 FT,8258,KTC,SG2,1,8
1130,1130,W6,W6,32 MA,7153,EXPRESS,SG1,1,5
1150,1150/1180,E4,E4,32 MA,6011,ANAND,SG2,1,9
1130,1130,E6,E6,32 MA,6102,KAPOOR,SG1,1,2
1140,1140,W2,W2,32 MA,7253,RCI,SG2,1,7
1150,1150/1180,E4,E4,32 MA,6012,ANAND,SG2,1,8
1130,1130,W6,W6,32 MA,7151,EXPRESS,SG1,1,2
1140,1140,W2,W2,32 MA,7254,SWASTIK,SG1,1,1
1110,1110,S2,S2,18 FT,400047,KTC,SG1,1,2
1160,1160,N1,N1,32 SA,400077,NSTCL,SG1,1,5
1150,1150/1180,E4,E4,32 MA,400062,NCS,SG2,1,6
1120,1120,S4,S4_1,18 FT,8311,EAST INDIA,SG2,1,6
1140,1140,S3,S3,18 FT,8151,INDOARYA,SG1,1,5
1120,1120,S4,S4_1,18 FT,8305,EAST INDIA,SG2,1,10
1130,1130,E6,E6,32 MA,6206,NCS,SG2,1,10
1120,1120,S4,S4_1,18 FT,8303,EAST INDIA,SG2,1,7
1130,1130,E6,E6,32 MA,400181,NCS,SG2,1,8
1150,1150/1180,E4,E4,32 MA,400307,VARUNA,SG1,1,2
1130,1130,W6,W6,32 MA,7105,EAST INDIA,SG2,1,9
1160,1160,N1,N1,32 MA,400211,KAPOOR,SG1,1,4
1130,1130,W6,W6,32 MA,7103,BLR,SG2,1,7
1150,1150/1180,S6,S6_1,18 FT,8254,RCI,SG1,1,4
1110,1110,S1,S1_2,18 FT,4000,CHINNA,SG1,1,5
1140,1140,S3,S3,18 FT,8252,MEGA,SG1,1,4
1160,1160,S2,S2,18 FT,400186,MEGA,SG1,1,3
1140,1140,S3,S3,18 FT,8253,MEGA,SG2,1,7
1110,1110,E1,E1,32 MA,4002,DGFC,SG1,1,1
1120,1120,S4,S4_1,18 FT,8052,KTC,SG2,1,10
1120,1120,S4,S4_1,18 FT,8003,KTC,SG1,1,4
1140,1140,S3,S3,18 FT,8261,SWASTIK,SG2,1,7
1160,1160,S2,S2_1,18 FT,8107,KTC,SG2,1,7
1130,1130,W6,W6,32 MA,7102,BLR,SG2,1,9
1110,1110,E1,E1,32 MA,6200,DGFC,SG1,1,3
1150,1150/1180,W3,W3_1,32 MA,7054,EXPRESS,SG1,1,4
1130,1130,N8,N8,32 MA,5305,SHRINIWASA,SG2,1,8
1130,1130,N8,N8,32 MA,5306,SHREE SHYAM,SG2,1,8
1130,1130,W6,W6,32 MA,7052,EAST INDIA,SG1,1,3
1150,1150/1180,W3,W3_1,32 MA,400023,EXPRESS,SG2,1,7
1130,1130,N8,N8_1,32 MA,5115,CORE,SG2,1,8
1150,1150/1180,W3,W3_1,32 MA,400350,RCI,SG1,1,1
1130,1130,N8,N8_1,32 MA,5152,INDOARYA,SG2,1,7
1110,1110,N3,N3,32 MA,5040,DRS,SG1,1,4
1130,1130,W6,W6,32 MA,7051,DGFC,SG2,1,10
1130,1130,W6,W6,32 MA,7003,DGFC,SG2,1,7
1130,1130,N8,N8_1,32 MA,5155,SHREE SHYAM,SG1,1,1
1130,1130,W6,W6,32 MA,7002,DGFC,SG1,1,5
1130,1130,N8,N8_1,32 MA,5157,SHREE SHYAM,SG1,1,3
1110,1110,N3,N3,32 MA,5104,DRS,SG1,1,1
1130,1130,N8,N8_1,32 MA,5203,VIKAS,SG1,1,1
1110,1110,N3,N3,32 MA,5120,DRS,SG2,1,7
1110,1110,N2,N2,32 MA,5050,DRS,SG1,1,3
1110,1110,N2,N2,32 MA,5301,DRS,SG2,1,10
1160,1160,S1,S1,18 FT,400031,MAHAVEERA,SG1,1,4
1110,1110,N1,N1,32 MA,400057,DRS,SG1,1,5
1130,1130,N9,N9,32 MA,5051,BLR,SG1,1,5
1130,1130,N9,N9,32 MA,5101,INDOARYA,SG2,1,9
1160,1160,S1,S1_1,32 MA,400078,MAHAVEERA,SG1,1,2
1160,1160,S1,S1_1,18 FT,400073,APML,SG1,1,5
1130,1130,N9,N9,32 MA,5103,CORE,SG1,1,1
1110,1110,E2,E2,32 MA,6000,KAPOOR,SG1,1,1
1130,1130,N9,N9,32 MA,5116,MAHAVEERA,SG2,1,10
1110,1110,E2,E2,32 MA,6053,ANAND,SG2,1,6
1160,1160,S1,S1_1,18 FT,400074,CHINNA,SG1,1,4
1110,1110,W1,W1,32 MA,7150,EAST INDIA,SG1,1,1
1130,1130,N9,N9,32 MA,5105,EAST INDIA,SG1,1,5
1110,1110,S3,S3,32 MA,8150,EXPRESS,SG1,1,3
1110,1110,S3,S3,18 FT,8256,RCI,SG2,1,10
1130,1130,N9,N9,32 MA,5107,EXPRESS,SG1,1,1
1110,1110,S3,S3,18 FT,8251,RCI,SG1,1,3
1110,1110,W2,W2,32 MA,7250,RCI,SG1,1,5
1120,1120,N7,N7,32 SA,400025,LGB,SG2,2,8
1110,1110,W2,W2,32 MA,7250,RCI,SG1,2,2
