Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1110,4003,12160680,665,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,250,2.66
1150,4003,16110670,55,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,500,0.11
1190,4000,16113570,830,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,250,3.32
1190,4003,16113570,830,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,250,3.32
1150,4003,16113870,1330,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,500,2.66
1140,4000,16114970,300,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,500,0.6
1150,4000,16116070,40,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,500,0.08
1150,4000,16116470,245,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,560,0.4375
1110,4000,16116670,290,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,250,1.16
1110,4003,16116670,585,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,250,2.34
1150,4000,16118180,15,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,500,0.03
1130,4000,16119160,565,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,560,1.0089285714285714
1140,4000,16119260,10,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,500,0.02
1150,4000,16126670,165,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,540,0.3055555555555556
1140,4000,16126760,400,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,540,0.7407407407407407
1140,4003,16126760,500,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,540,0.9259259259259259
1110,4000,16143560,215,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,280,0.7678571428571429
1110,4000,16146750,95,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,280,0.3392857142857143
1140,4000,16146860,85,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,560,0.15178571428571427
1140,4003,16146860,135,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,560,0.24107142857142858
1140,4000,16616670,330,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,500,0.66
1140,4000,16618180,485,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,500,0.97
1140,4003,16618180,365,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,500,0.73
1110,4003,16646660,295,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,280,1.0535714285714286
1140,4000,19133040,155,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1569,0.09878903760356915
1150,4000,19133340,65,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,1568,0.04145408163265306
1130,4000,11113590,100,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,180,0.5555555555555556
1130,4000,11118190,130,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,180,0.7222222222222222
1130,4000,11121690,50,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,210,0.23809523809523808
1110,4003,11123580,65,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,105,0.6190476190476191
1130,4000,11130280,10,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,230,0.043478260869565216
1130,4003,11130280,155,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,230,0.6739130434782609
1150,4003,11133280,1055,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,230,4.586956521739131
1110,4003,11133580,2965,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,115,25.782608695652176
1130,4003,11139880,565,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,230,2.4565217391304346
1130,4000,11151580,100,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,250,0.4
1110,4000,11653580,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,125,0.24
1110,4003,11653580,45,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,125,0.36
1120,4003,11653580,700,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,125,5.6
1130,4003,11656680,585,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,250,2.34
1110,4000,11658180,150,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,125,1.2
1110,4003,11658180,325,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,125,2.6
1110,4000,11728180,230,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,105,2.1904761904761907
1110,4003,11728180,230,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,105,2.1904761904761907
1150,4003,11731480,185,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,230,0.8043478260869565
1130,4003,11736580,1630,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,230,7.086956521739131
1110,4000,11738180,180,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,115,1.565217391304348
1110,4003,11738180,730,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,115,6.3478260869565215
1120,4003,11776670,830,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,150,5.533333333333333
1120,4000,11778170,65,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,150,0.43333333333333335
1120,4003,11778170,430,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,150,2.8666666666666667
1130,4000,25171600,165,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,130,1.2692307692307692
1130,4000,25175390,80,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,130,0.6153846153846154
1110,4000,12151610,10,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,45,0.2222222222222222
1110,4000,13118360,100,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,70,1.4285714285714286
1120,4000,13118360,60,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,70,0.8571428571428571
1110,4000,13178370,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,25,1.2
1150,4000,13198360,60,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,80,0.75
1110,4000,29133200,5,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,11,0.45454545454545453
1110,4000,29143180,10,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,20,0.5
1150,4000,29147400,20,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,26,0.7692307692307693
1150,4000,29147800,5,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,26,0.19230769230769232
1150,4000,29156260,30,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,80,0.375
1130,4000,29171160,5,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,130,0.038461538461538464
1110,4000,29199260,15,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,80,0.1875
1160,4000,16330960,100,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,275,0.36363636363636365
1160,4000,16331200,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,300,0.1
1160,4000,16333040,130,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,225,0.5777777777777777
1160,4000,16340020,355,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,450,0.7888888888888889
1140,4000,16340880,665,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,907,0.7331863285556781
1160,4000,16341020,1435,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,350,4.1
1160,4000,16341050,1125,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,350,3.2142857142857144
1180,4000,16360340,200,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,724,0.27624309392265195
1160,4000,16370710,85,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,400,0.2125
1160,4000,18340330,20,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,475,0.042105263157894736
1160,4000,18381460,240,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,400,0.6
1160,4000,18381720,65,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,550,0.11818181818181818
1160,4000,11331980,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,100,0.3
1160,4000,11332580,65,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,100,0.65
1160,4000,25337680,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,90,0.3333333333333333
1160,4000,25375300,365,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,65,5.615384615384615
