Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1120,1120,8003,S4,S4_1,8010,DEPOT,S4,S4_1,DEPOT,18 FT,18 FT,1
1120,1120,8051,S4,S4_1,7150,DEPOT,W5,W5,DEPOT,32 MA,18 FT,1
1120,1120,8052,S4,S4_1,8010,DEPOT,S4,S4_1,DEPOT,18 FT,18 FT,1
1120,1120,8054,S4,S4_1,8010,DEPOT,S4,S4_1,DEPOT,18 FT,18 FT,1
1120,1120,8155,S4,S4,8150,DEPOT,S9,S9_2,DEPOT,18 FT,18 FT,1
1120,1120,8251,S4,S4,8150,DEPOT,S9,S9_2,DEPOT,18 FT,18 FT,1
1120,1120,8252,S4,S4,8150,DEPOT,S9,S9_2,DEPOT,18 FT,18 FT,1
1120,1120,8255,S4,S4,8150,DEPOT,S9,S9_2,DEPOT,18 FT,18 FT,1
1120,1120,8261,S4,S4,8150,DEPOT,S9,S9_2,DEPOT,18 FT,18 FT,1
1120,1120,8303,S4,S4_2,8300,DEPOT,S4,S4_2,DEPOT,18 FT,18 FT,1
1120,1120,8305,S4,S4_2,8300,DEPOT,S4,S4_2,DEPOT,18 FT,18 FT,1
1120,1120,8351,S4,S4_2,8300,DEPOT,S4,S4_2,DEPOT,18 FT,18 FT,1
1120,1120,400024,S4,S4_2,,OEM,,,,,18 FT,6
1120,1120,400025,N7,N7,,OEM,,,,,32 SA,7
1120,1120,400039,W5,W5,,OEM,,,,,32 SA,6
1120,1120,400043,W5,W5,,OEM,,,,,32 SA,9
1120,1120,400044,N7,N7,,OEM,,,,,32 SA,3
1120,1120,400045,N7,N7,,OEM,,,,,32 SA,5
1120,1120,400047,S4,S4_1,,OEM,,,,,18 FT,2
1120,1120,400048,W5,W5,,OEM,,,,,32 SA,4
1120,1120,400051,N7,N7,,OEM,,,,,32 SA,20
1120,1120,400054,S4,S4_2,,OEM,,,,,18 FT,1
1120,1120,400057,N7,N7,,OEM,,,,,32 MA,1
1120,1120,400063,S4,S4_2,,OEM,,,,,18 FT,1
1120,1120,400083,N7,N7,,OEM,,,,,32 SA,2
1120,1120,400147,S4,S4_2,,OEM,,,,,18 FT,1
1120,1120,400294,N7,N7,,OEM,,,,,32 SA,1
1120,1120,400310,S9,S9_2,,OEM,,,,,32 MA,4
1120,1120,400318,W5,W5,,OEM,,,,,32 SA,4
1120,1120,400329,W5,W5,,OEM,,,,,32 SA,2
1120,1120,400347,N7,N7,,OEM,,,,,32 SA,7
