Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType,Month,Period,Year
1110,1110,5157,N1,N1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.4005710853393707,0,0.4005710853393707,0.4005710853393707,May,01,2016
1110,1110,5201,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.06738651890086533,0,0.06738651890086533,0.06738651890086533,May,01,2016
1110,1110,5202,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.05714285714285714,0,0.05714285714285714,0.05714285714285714,May,01,2016
1110,1110,5203,N1,N1,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.5537858660998938,0,0.5537858660998938,0.5537858660998938,May,01,2016
1110,1110,5206,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.19642857142857142,0,0.19642857142857142,0.19642857142857142,May,01,2016
1110,1110,5251,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.35072309753731,0,0.35072309753731,0.35072309753731,May,01,2016
1110,1110,5252,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.11875,0,0.11875,0.11875,May,01,2016
1110,1110,5301,N2,N2,5301,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.5066638174005451,0,0.5066638174005451,0.5066638174005451,May,01,2016
1110,1110,5303,N2,N2,5040,DEPOT,18 FT,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.12,0,0.12,0.24,May,01,2016
1110,1110,5305,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.21734856535600425,0,0.21734856535600425,0.21734856535600425,May,01,2016
1110,1110,5306,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.20440807651434645,0,0.20440807651434645,0.20440807651434645,May,01,2016
1110,1110,5307,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.1860031880977683,0,0.1860031880977683,0.1860031880977683,May,01,2016
1110,1110,5309,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.028,0,0.028,0.028,May,01,2016
1110,1110,6000,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.8760714285714286,0,0.8760714285714286,0.8760714285714286,May,01,2016
1110,1110,6001,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.7289596273291926,0,0.7289596273291926,0.7289596273291926,May,01,2016
1110,1110,6003,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,1.4303164335548941,1,0.43031643355489413,0.43031643355489413,May,01,2016
1110,1110,6004,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.37029347826086956,0,0.37029347826086956,0.37029347826086956,May,01,2016
1110,1110,6011,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.21428571428571427,0,0.21428571428571427,0.21428571428571427,May,01,2016
1110,1110,6012,E2,E2,6000,DEPOT,18 FT,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.9128726708074534,0,0.9128726708074534,1.8257453416149068,May,01,2016
1110,1110,6013,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,0.6726397515527951,0,0.6726397515527951,0.6726397515527951,May,01,2016
1110,1110,6053,E2,E2,6053,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,3.155484097164676,3,0.15548409716467582,0.15548409716467582,May,01,2016
1110,1110,6102,E2,E2,6102,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,32 MA,2.1637282608695654,2,0.16372826086956538,0.16372826086956538,May,01,2016
1110,1110,6200,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.4,0,0.4,0.4,May,01,2016
1110,1110,6201,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,1.1143354037267081,1,0.11433540372670814,0.11433540372670814,May,01,2016
1110,1110,6202,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,1.480442546583851,1,0.4804425465838511,0.4804425465838511,May,01,2016
1110,1110,6203,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.814388106349133,0,0.814388106349133,0.814388106349133,May,01,2016
1110,1110,6204,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.953335403726708,0,0.953335403726708,0.953335403726708,May,01,2016
1110,1110,6205,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.23660714285714285,0,0.23660714285714285,0.23660714285714285,May,01,2016
1110,1110,6206,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,1.239285714285714,1,0.2392857142857141,0.2392857142857141,May,01,2016
1110,1110,6207,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.2571428571428571,0,0.2571428571428571,0.2571428571428571,May,01,2016
1110,1110,7000,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.075,0,0.075,0.075,May,01,2016
1110,1110,7003,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.04782146652497343,0,0.04782146652497343,0.04782146652497343,May,01,2016
