Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType
1150,1150/1180,4000,S,S,,EXPORT,18 FT,32 MA,,,,,32 MA,9.256818034955065,10,0,0
1150,1150/1180,4001,S,S,,EXPORT,18 FT,32 MA,,,,,32 MA,2.653107142857143,3,0,0
1150,1150/1180,4002,E3,E3,,EXPORT,32 MA,32 MA,,,,,32 MA,6.153584367712733,7,0,0
1150,1150/1180,4003,S,S,,EXPORT,18 FT,32 MA,,,,,32 MA,9.187318840579708,10,0,0
1150,1150/1180,5001,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,0.35947596590745373,0,0.35947596590745373,0.35947596590745373
1150,1150/1180,5002,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,1.09737206185152,1,0.09737206185151992,0.09737206185151992
1150,1150/1180,5004,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,0.44676175450110306,0,0.44676175450110306,0.44676175450110306
1150,1150/1180,5006,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,0.21947880536522854,0,0.21947880536522854,0.21947880536522854
1150,1150/1180,5040,N6,N6,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.3356065805810016,0,0.3356065805810016,0.3356065805810016
1150,1150/1180,5040,N6,N6,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,2.0914484453077016,2,0.09144844530770158,0.09144844530770158
1150,1150/1180,5050,N5,N5,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,1.070839721276223,1,0.07083972127622307,0.07083972127622307
1150,1150/1180,5050,N5,N5,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 SA,1.3836338131049024,1,0.3836338131049024,0.3836338131049024
1150,1150/1180,5051,N6,N6,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,2.98898094885014,2,0.98898094885014,0.98898094885014
1150,1150/1180,5051,N6,N6,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 SA,0.08247422680412371,0,0.08247422680412371,0.08247422680412371
1150,1150/1180,5052,N5,N5,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.4116159086514798,0,0.4116159086514798,0.4116159086514798
1150,1150/1180,5052,N5,N5,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.07496638278798745,0,0.07496638278798745,0.07496638278798745
1150,1150/1180,5053,N5,N5,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.3183678635697639,0,0.3183678635697639,0.3183678635697639
1150,1150/1180,5054,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,1.9930295694420421,1,0.9930295694420421,0.9930295694420421
1150,1150/1180,5055,N5,N5,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,1.5168595324886536,1,0.5168595324886536,0.5168595324886536
1150,1150/1180,5061,N5,N5,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,1.4747377821612497,1,0.47473778216124973,0.47473778216124973
1150,1150/1180,5061,N5,N5,5040,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.04,0,0.04,0.04
1150,1150/1180,5071,N4,N4,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,0.15695727020484537,0,0.15695727020484537,0.15695727020484537
1150,1150/1180,5101,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.40277094863337826,0,0.40277094863337826,0.40277094863337826
1150,1150/1180,5102,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.6244008036508469,0,0.6244008036508469,0.6244008036508469
1150,1150/1180,5103,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.2735904919800877,0,0.2735904919800877,0.2735904919800877
1150,1150/1180,5104,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.6566510687566482,0,0.6566510687566482,0.6566510687566482
1150,1150/1180,5104,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.25925925925925924,0,0.25925925925925924,0.25925925925925924
1150,1150/1180,5105,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.05034680500732467,0,0.05034680500732467,0.05034680500732467
1150,1150/1180,5105,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.020618556701030927,0,0.020618556701030927,0.020618556701030927
1150,1150/1180,5106,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.41734349850057656,0,0.41734349850057656,0.41734349850057656
1150,1150/1180,5106,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.3489259093248336,0,0.3489259093248336,0.3489259093248336
1150,1150/1180,5107,N6,N6,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 MA,0.4773795103151014,0,0.4773795103151014,0.4773795103151014
1150,1150/1180,5107,N6,N6,5050,DEPOT,32 MA,32 MA,N5,N5,DEPOT,32 MA,32 SA,0.18117602138220695,0,0.18117602138220695,0.18117602138220695
1150,1150/1180,5108,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.1003673796324564,0,0.1003673796324564,0.1003673796324564
1150,1150/1180,5108,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 SA,0.018518518518518517,0,0.018518518518518517,0.018518518518518517
1150,1150/1180,5109,N6,N6,5120,DEPOT,32 MA,32 MA,N6,N6,DEPOT,32 MA,32 MA,0.23592574132125368,0,0.23592574132125368,0.23592574132125368
