pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
129,,129,{},1452163448,1452163448,19,19,,,1150,4000,29147400,01To10,33,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,26,1.2692307692307692
130,,130,{},1452163448,1452163448,19,19,,,1150,4000,29147600,01To10,4,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,26,0.15384615384615385
131,,131,{},1452163448,1452163448,19,19,,,1150,4000,29147800,01To10,3,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,26,0.11538461538461539
141,,141,{},1452163448,1452163448,19,19,,,1180,4000,16371080,01To10,7,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,1020,0.006862745098039216
144,,144,{},1452163448,1452163448,19,19,,,1180,4000,18311100,01To10,17,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,1563,0.010876519513755598
148,,148,{},1452163448,1452163448,19,19,,,1180,4000,18391120,01To10,7,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,907,0.007717750826901874
175,,175,{},1452163448,1452163448,19,19,,,1150,4000,46031500,01To10,3000,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,30000,0.1
176,,176,{},1452163448,1452163448,19,19,,,1150,4000,46051500,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0
178,,178,{},1452163448,1452163448,19,19,,,1150,4000,40181500,01To10,5000,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0.5
179,,179,{},1452163448,1452163448,19,19,,,1150,4000,40186500,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0
188,,188,{},1452163448,1452163448,19,19,,,1150,4001,36011300,01To10,3667,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,7000,0.5238571428571429
191,,191,{},1452163448,1452163448,19,19,,,1150,4001,36021300,01To10,34,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,8000,0.00425
196,,196,{},1452163448,1452163448,19,19,,,1150,4000,38031500,01To10,667,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,10000,0.0667
204,,204,{},1452163448,1452163448,19,19,,,1150,4003,31031300,01To10,2000,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,3000,0.6666666666666666
206,,206,{},1452163448,1452163448,19,19,,,1150,4001,31051300,01To10,500,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,4000,0.125
207,,207,{},1452163448,1452163448,19,19,,,1150,4003,31051300,01To10,980,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,4000,0.245
219,,219,{},1452163448,1452163448,19,19,,,1150,4000,50053900,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,6000,0
220,,220,{},1452163448,1452163448,19,19,,,1150,4001,50053900,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,6000,0
221,,221,{},1452163448,1452163448,19,19,,,1150,4003,50053900,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,6000,0
345,,345,{},1452163448,1452163448,19,19,,,1150,104687,11170680,01To10,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,300,0.6666666666666666
346,,346,{},1452163448,1452163448,19,19,,,1150,104687,11176980,01To10,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,300,0.6666666666666666
347,,347,{},1452163448,1452163448,19,19,,,1150,104687,16110280,01To10,200,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,500,0.4
348,,348,{},1452163448,1452163448,19,19,,,1150,104932,27160100,01To10,600,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,0.16849199663016007
