ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,TruckDemandFinal,TruckDemandFinalCeil
1150/1180,1150,S,S,32 MA,4000,10,10
1150/1180,1150,S,S,32 MA,4001,3,3
1150/1180,1150,S,S,32 MA,4003,10,10
1150/1180,1150,S,S,32 MA,8001,1,1
1150/1180,1150,S,S,32 MA,8003,1,1
1150/1180,1150,S,S,32 MA,8006,1,1
1150/1180,1150,S,S,32 MA,8053,1,1
1150/1180,1150,S,S,32 MA,8104,1,1
1150/1180,1150,S,S,32 MA,8150,10.16261072102038,11
1150/1180,1150,S,S,32 MA,8151,7,7
1150/1180,1150,S,S,32 MA,8153,8,8
1150/1180,1150,S,S,32 MA,8155,4,4
1150/1180,1150,S,S,32 MA,8156,5,5
1150/1180,1150,S,S,32 MA,8251,8,8
1150/1180,1150,S,S,32 MA,8253,1,1
1150/1180,1150,S,S,32 MA,8254,2,2
1150/1180,1150,S,S,32 MA,8255,7,7
1150/1180,1150,S,S,32 MA,8256,4,4
1150/1180,1150,S,S,32 MA,8257,2,2
1150/1180,1150,S,S,32 MA,8258,1,1
1150/1180,1150,S,S,32 MA,8300,7.896162547414623,8
1150/1180,1150,S,S,32 MA,8305,1,1
1150/1180,1150,S,S,32 MA,8351,1,1
1150/1180,1150,S,S,32 MA,8352,1,1
1150/1180,1150,S,S,32 MA,8353,1,1
1150/1180,1150,S,S,32 MA,400024,1,1
1150/1180,1150,S,S,32 MA,400031,5,5
1150/1180,1150,S,S,32 MA,400061,1,1
1150/1180,1150,S,S,32 MA,400063,1,1
1150/1180,1150,S,S,32 MA,400311,4,4
1150/1180,1150,S,S,18 FT,8004,1,1
1150/1180,1150,S,S,18 FT,8005,1,1
1150/1180,1150,S,S,18 FT,8051,1,1
1150/1180,1150,S,S,18 FT,8052,3,3
1150/1180,1150,S,S,18 FT,8053,1,1
1150/1180,1150,S,S,18 FT,8054,1,1
1150/1180,1150,S,S,18 FT,8055,2,2
1150/1180,1150,S,S,18 FT,8102,2,2
1150/1180,1150,S,S,18 FT,8103,2,2
1150/1180,1150,S,S,18 FT,8105,1,1
1150/1180,1150,S,S,18 FT,8106,2,2
1150/1180,1150,S,S,18 FT,8107,1,1
1150/1180,1150,S,S,18 FT,8156,1,1
1150/1180,1150,S,S,18 FT,8251,1,1
1150/1180,1150,S,S,18 FT,8252,10,10
1150/1180,1150,S,S,18 FT,8256,1,1
1150/1180,1150,S,S,18 FT,8257,1,1
1150/1180,1150,S,S,18 FT,8261,1,1
1150/1180,1150,S,S,18 FT,8301,2,2
1150/1180,1150,S,S,18 FT,8302,1,1
1150/1180,1150,S,S,18 FT,8303,1,1
1150/1180,1150,S,S,18 FT,8304,2,2
1150/1180,1150,S,S,18 FT,8306,1,1
1150/1180,1150,S,S,18 FT,8311,2,2
1150/1180,1150,S,S,18 FT,8313,1,1
1150/1180,1150,S,S,18 FT,8354,2,2
1150/1180,1150,S,S,18 FT,8355,1,1
1150/1180,1150,S,S,18 FT,8356,1,1
1150/1180,1150,S,S,18 FT,400078,1,1
1150/1180,1150,E3,E3,32 MA,4002,7,7
1150/1180,1150,E3,E3,32 MA,6200,3.8881750627968543,4
1150/1180,1150,E3,E3,32 MA,6202,1,1
1150/1180,1150,E3,E3,32 MA,6203,1,1
1150/1180,1150,E3,E3,32 MA,6204,1,1
1150/1180,1150,E3,E3,32 MA,6205,1,1
1150/1180,1150,E3,E3,32 MA,6207,1,1
1150/1180,1150,E3,E3,32 MA,400035,5,5
1150/1180,1150,N4,N4,32 MA,5002,1,1
1150/1180,1150,N4,N4,32 MA,5054,2,2
1150/1180,1150,N4,N4,32 MA,5151,1,1
1150/1180,1150,N4,N4,32 MA,5152,2,2
1150/1180,1150,N4,N4,32 MA,5155,1,1
1150/1180,1150,N4,N4,32 MA,5201,1,1
1150/1180,1150,N4,N4,32 MA,5202,1,1
1150/1180,1150,N4,N4,32 MA,5203,2,2
1150/1180,1150,N4,N4,32 MA,5206,1,1
1150/1180,1150,N4,N4,32 MA,104932,3,3
1150/1180,1150,N4,N4,32 MA,400020,1,1
1150/1180,1150,N4,N4,32 MA,400021,7,7
1150/1180,1150,N4,N4,32 MA,400057,3,3
1150/1180,1150,N4,N4,32 MA,400058,1,1
1150/1180,1150,N4,N4,32 MA,400059,2,2
1150/1180,1150,N4,N4,32 MA,400126,1,1
1150/1180,1150,N4,N4,32 MA,400286,6,6
1150/1180,1150,N4,N4,32 MA,400335,2,2
1150/1180,1150,N4,N4,32 SA,400057,1,1
