Plant,Destination,Cluster,SubCluster,RDC,DestCategory,TruckType,DemandTruck,DemandTruckFinal
1150,5040,N5,N5,5040,DEPOT,32 SA,0.037037037037037035,0.037037037037037035
1150,5040,N5,N5,5040,DEPOT,32 MA,2.432090687868678,0.4320906878686781
1150,5040,N5,N5,5040,DEPOT,18 FT,1.2875648361300533,0.28756483613005335
1150,5040,N5,N5,5040,DEPOT,32 MA,0.7164621060983435,0.7164621060983435
1150,5040,N5,N5,5040,DEPOT,32 MA,0.7250479554260335,0.7250479554260335
1150,5040,N5,N5,5040,DEPOT,32 MA,0.09675288287162379,0.09675288287162379
1150,6000,E4,E4,6000,DEPOT,32 MA,2.028142856162746,0.02814285616274592
1150,6000,E4,E4,6000,DEPOT,32 MA,2.367988083322656,0.36798808332265587
1150,6000,E4,E4,6000,DEPOT,32 SA,0.011049723756906077,0.011049723756906077
1150,6000,E4,E4,6000,DEPOT,32 SA,0.08247422680412371,0.08247422680412371
1150,6000,E4,E4,6000,DEPOT,18 FT,2.4143389202584853,0.4143389202584853
1150,6000,E4,E4,6000,DEPOT,32 SA,0.14432989690721648,0.14432989690721648
1150,BHUBANESHWAR MOGO,E4,E4,BHUBANESHWAR MOGO,DEPOT,32 MA,3.1287490510878637,0.12874905108786372
1150,BHUBANESHWAR MOGO,E4,E4,BHUBANESHWAR MOGO,DEPOT,32 SA,0.5087819778541428,0.5087819778541428
1150,6000,E4,E4,6000,DEPOT,32 MA,3.665684952712622,0.6656849527126218
1150,6000,E4,E4,6000,DEPOT,18 FT,2.619977523684045,0.619977523684045
1150,6000,E4,E4,6000,DEPOT,32 MA,1.032694620370127,0.03269462037012705
1150,6000,E4,E4,6000,DEPOT,32 MA,0.6578441552419697,0.6578441552419697
1150,6000,E4,E4,6000,DEPOT,32 SA,0.037037037037037035,0.037037037037037035
1150,6200,E3,E3,6200,DEPOT,32 MA,0.32490530000109397,0.32490530000109397
1150,6200,E3,E3,6200,DEPOT,32 MA,1.0802935580998592,0.08029355809985916
1150,6200,E3,E3,6200,DEPOT,32 SA,0.12962962962962962,0.12962962962962962
1150,6200,E3,E3,6200,DEPOT,32 MA,2.0115487507579375,0.011548750757937487
1150,6200,E3,E3,6200,DEPOT,32 SA,0.1251922310189668,0.1251922310189668
1150,6200,E3,E3,6200,DEPOT,32 MA,1.4480659070335862,0.4480659070335862
1150,6200,E3,E3,6200,DEPOT,32 SA,0.3972890416189385,0.3972890416189385
1150,6200,E3,E3,6200,DEPOT,32 SA,0.041237113402061855,0.041237113402061855
1150,6200,E3,E3,6200,DEPOT,32 MA,0.46518985389206374,0.46518985389206374
