pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,SubCluster,Cluster,RDC,TruckType,DestCategory,Tyres,DemandTruck
243,,243,{},1450709139,1450709139,19,19,,,1150,5004,21113920,01To10,13,N4,N4,5050,32 MA,DEPOT,4375,0.0029714285714285715
244,,244,{},1450709139,1450709139,19,19,,,1150,5006,21113920,01To10,12,N4,N4,5050,32 MA,DEPOT,4375,0.002742857142857143
245,,245,{},1450709139,1450709139,19,19,,,1150,5052,21113920,01To10,25,N5,N5,5040,32 MA,DEPOT,4375,0.005714285714285714
246,,246,{},1450709139,1450709139,19,19,,,1150,5053,21113920,01To10,10,N5,N5,5040,32 MA,DEPOT,4375,0.002285714285714286
247,,247,{},1450709139,1450709139,19,19,,,1150,5054,21113920,01To10,8,N4,N4,5050,32 MA,DEPOT,4375,0.0018285714285714285
248,,248,{},1450709139,1450709139,19,19,,,1150,5071,21113920,01To10,10,N4,N4,5050,32 MA,DEPOT,4375,0.002285714285714286
249,,249,{},1450709139,1450709139,19,19,,,1150,5101,21113920,01To10,14,N6,N6,5120,32 MA,DEPOT,4375,0.0032
250,,250,{},1450709139,1450709139,19,19,,,1150,5102,21113920,01To10,38,N6,N6,5120,32 MA,DEPOT,4375,0.008685714285714286
251,,251,{},1450709139,1450709139,19,19,,,1150,5103,21113920,01To10,11,N6,N6,5120,32 MA,DEPOT,4375,0.002514285714285714
252,,252,{},1450709139,1450709139,19,19,,,1150,5104,21113920,01To10,9,N6,N6,5120,32 MA,DEPOT,4375,0.002057142857142857
253,,253,{},1450709139,1450709139,19,19,,,1150,5105,21113920,01To10,8,N6,N6,5120,32 MA,DEPOT,4375,0.0018285714285714285
254,,254,{},1450709139,1450709139,19,19,,,1150,5106,21113920,01To10,8,N6,N6,5120,32 MA,DEPOT,4375,0.0018285714285714285
