Plant,Cluster,TruckType,Destination,Total
1150/1180,W3,32 MA,7105,1
1150/1180,W3,32 MA,7150,2
1150/1180,W3,32 MA,7151,3
1150/1180,W3,32 MA,7152,5
1150/1180,W3,32 MA,7153,1
1150/1180,W3,32 MA,7154,1
1150/1180,W3,32 MA,7155,1
1150/1180,W3,32 MA,7157,0
1150/1180,W3,32 MA,7161,1
1150/1180,W3,32 MA,400003,2
1150/1180,W3,32 MA,400034,2
1150/1180,W3,32 MA,400038,3
1150/1180,W3,32 MA,400043,0
1150/1180,W3,32 MA,400075,0
1150/1180,W3,32 MA,400191,1
1150/1180,W3,32 MA,400339,1
1150/1180,W3,32 MA,400350,0
1150/1180,W3,32 MA,BARODA RDC,6
1150/1180,W3,32 MA,HYDERABAD RDC,2
1150/1180,W3,32 MA,INDORE RDC,1
1150/1180,W3,32 MA,NAGPUR MOGO,2
1150/1180,W3,32 MA,NAVI MUMBAI MOGO,2
1150/1180,W3,32 MA,PUNE RDC,7
1150/1180,W3,32 SA,7000,0
1150/1180,W3,32 SA,7001,0
1150/1180,W3,32 SA,7002,0
1150/1180,W3,32 SA,7003,0
1150/1180,W3,32 SA,7004,0
1150/1180,W3,32 SA,7051,0
1150/1180,W3,32 SA,7052,0
1150/1180,W3,32 SA,7054,0
1150/1180,W3,32 SA,7102,0
1150/1180,W3,32 SA,7103,0
1150/1180,W3,32 SA,7105,0
1150/1180,W3,32 SA,7150,0
1150/1180,W3,32 SA,7151,0
1150/1180,W3,32 SA,7152,0
1150/1180,W3,32 SA,7153,0
1150/1180,W3,32 SA,7154,0
1150/1180,W3,32 SA,7155,0
1150/1180,W3,32 SA,7157,0
1150/1180,W3,32 SA,7161,0
1150/1180,W3,32 SA,400023,0
1150/1180,W3,32 SA,400042,0
1150/1180,W3,32 SA,400043,1
1150/1180,W3,32 SA,400191,0
1150/1180,W3,32 SA,400329,0
1150/1180,W3,32 SA,BARODA RDC,1
1150/1180,W3,32 SA,HYDERABAD RDC,1
1150/1180,W3,32 SA,INDORE RDC,1
1150/1180,W3,32 SA,NAGPUR MOGO,1
1150/1180,W3,32 SA,NAVI MUMBAI MOGO,0
1150/1180,W3,32 SA,PUNE RDC,2
1150/1180,W4,32 MA,5156,0
1150/1180,W4,32 MA,7250,1
1150/1180,W4,32 MA,7251,4
1150/1180,W4,32 MA,7252,1
1150/1180,W4,32 MA,7253,1
1150/1180,W4,32 MA,7254,0
1150/1180,W4,32 MA,7301,2
1150/1180,W4,32 MA,7302,4
1150/1180,W4,32 MA,7304,1
1150/1180,W4,32 MA,104687,2
1150/1180,W4,32 MA,400066,0
1150/1180,W4,32 MA,400295,0
1150/1180,W4,32 MA,DHARUHERA RDC,2
1150/1180,W4,32 MA,INDORE RDC,5
1150/1180,W4,32 MA,RAIPUR MOGO,0
1150/1180,W4,32 SA,5156,0
1150/1180,W4,32 SA,7250,0
1150/1180,W4,32 SA,7251,1
1150/1180,W4,32 SA,7252,0
1150/1180,W4,32 SA,7253,0
1150/1180,W4,32 SA,7254,0
1150/1180,W4,32 SA,7301,0
1150/1180,W4,32 SA,7302,0
1150/1180,W4,32 SA,7304,0
1150/1180,W4,32 SA,400039,2
1150/1180,W4,32 SA,DHARUHERA RDC,1
1150/1180,W4,32 SA,INDORE RDC,2
1150/1180,W4,32 SA,RAIPUR MOGO,1
