Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,W3,W3_1,32 MA,7054,1
1150/1180,W3,W3_1,32 MA,400350,1
1150/1180,W3,W3_1,32 SA,7000,2
1150/1180,W3,W3_1,32 SA,7001,0
1150/1180,W3,W3_1,32 SA,7003,0
1150/1180,W3,W3_1,32 SA,7004,0
1150/1180,W3,W3_1,32 SA,7051,0
1150/1180,W3,W3_1,32 SA,7052,0
1150/1180,W3,W3_1,32 SA,7053,0
1150/1180,W3,W3_1,32 SA,7054,0
1150/1180,W3,W3,32 MA,7102,4
1150/1180,W3,W3,32 MA,7103,2
1150/1180,W3,W3,32 MA,7105,4
1150/1180,W3,W3,32 MA,7106,0
1150/1180,W3,W3,32 MA,7150,3
1150/1180,W3,W3,32 MA,7151,4
1150/1180,W3,W3,32 MA,7152,6
1150/1180,W3,W3,32 MA,7153,2
1150/1180,W3,W3,32 MA,7154,2
1150/1180,W3,W3,32 MA,7155,1
1150/1180,W3,W3,32 MA,7157,2
1150/1180,W3,W3,32 MA,7158,0
1150/1180,W3,W3,32 MA,7161,1
1150/1180,W3,W3,32 MA,7250,1
1150/1180,W3,W3,32 MA,400003,2
1150/1180,W3,W3,32 MA,400034,1
1150/1180,W3,W3,32 MA,400038,3
1150/1180,W3,W3,32 MA,400075,1
1150/1180,W3,W3,32 MA,NAVI MUMBAI MOGO,1
1150/1180,W3,W3,32 MA,NAGPUR MOGO,1
1150/1180,W3,W3,32 SA,7102,0
1150/1180,W3,W3,32 SA,7103,0
1150/1180,W3,W3,32 SA,7105,0
1150/1180,W3,W3,32 SA,7150,2
1150/1180,W3,W3,32 SA,7151,0
1150/1180,W3,W3,32 SA,7152,0
1150/1180,W3,W3,32 SA,7153,0
1150/1180,W3,W3,32 SA,7154,0
1150/1180,W3,W3,32 SA,7155,0
1150/1180,W3,W3,32 SA,7157,0
1150/1180,W3,W3,32 SA,7161,0
1150/1180,W3,W3,32 SA,7250,1
1150/1180,W3,W3,32 SA,8150,1
1150/1180,W3,W3,32 SA,400329,3
1150/1180,W3,W3,32 SA,NAVI MUMBAI MOGO,1
1150/1180,W3,W3,32 SA,NAGPUR MOGO,1

