Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType
1110,1110,6000,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.6612080745341617,2,0.6612080745341617,0.3306040372670809
1110,1110,6001,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.384893280632411,2,0.384893280632411,0.1924466403162055
1110,1110,6003,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.8699999999999997,2,0.8699999999999997,0.43499999999999983
1110,1110,6004,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,3.3125372670807454,3,0.31253726708074536,0.15626863354037268
1110,1110,6011,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,1.3772608695652175,1,0.37726086956521754,0.18863043478260877
1110,1110,6012,E2,E2,6000,DEPOT,18 FT,18 FT,E2,E2,DEPOT,32 MA,18 FT,1.9049565217391304,1,0.9049565217391304,0.9049565217391304
1110,1110,6013,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.1880434782608695,2,0.18804347826086953,0.09402173913043477
1110,1110,6053,E2,E2,6053,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.537571428571429,2,0.5375714285714288,0.2687857142857144
1110,1110,6102,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,3.0890000000000004,3,0.08900000000000041,0.044500000000000206
1110,1110,6103,E2,E2,6000,DEPOT,18 FT,18 FT,E2,E2,DEPOT,32 MA,18 FT,1.182,1,0.18199999999999994,0.18199999999999994
1110,1110,6104,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,1.134,1,0.1339999999999999,0.06699999999999995
1110,1110,6200,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,1.6179999999999999,1,0.6179999999999999,0.30899999999999994
1110,1110,6201,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.2792173913043478,0,0.2792173913043478,0.1396086956521739
1110,1110,6202,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.039,0,0.039,0.0195
1110,1110,6203,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,2.0920434782608694,2,0.09204347826086945,0.046021739130434725
1110,1110,6204,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,1.7639130434782608,1,0.7639130434782608,0.3819565217391304
1110,1110,6205,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.24957142857142856,0,0.24957142857142856,0.12478571428571428
1110,1110,6206,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,1.4477391304347829,1,0.44773913043478286,0.22386956521739143
1110,1110,6207,E1,E1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.22,0,0.22,0.11
1110,1110,7000,W1,W1_1,7000,DEPOT,32 MA,32 MA,W1,W1_1,DEPOT,32 MA,18 FT,0.175,0,0.175,0.0875
1110,1110,7002,W1,W1_1,7000,DEPOT,32 MA,32 MA,W1,W1_1,DEPOT,32 MA,18 FT,0.020833333333333332,0,0.020833333333333332,0.010416666666666666
1110,1110,7051,W1,W1_1,7000,DEPOT,32 MA,32 MA,W1,W1_1,DEPOT,32 MA,18 FT,0.041666666666666664,0,0.041666666666666664,0.020833333333333332
1110,1110,7102,W1,W1,7102,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.0625,0,0.0625,0.03125
1110,1110,7103,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.308,0,0.308,0.154
1110,1110,7150,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.25882352941176473,0,0.25882352941176473,0.12941176470588237
1110,1110,7151,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.108,0,0.108,0.054
1110,1110,7152,W1,W1,7152,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.8753896103896104,0,0.8753896103896104,0.4376948051948052
1110,1110,7155,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.03,0,0.03,0.015
1110,1110,7250,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,1.92,1,0.9199999999999999,0.45999999999999996
1110,1110,7251,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,0.5,0,0.5,0.25
1110,1110,7252,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,0.10142857142857142,0,0.10142857142857142,0.05071428571428571
1110,1110,7253,W2,W2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.46399999999999997,0,0.46399999999999997,0.23199999999999998
1110,1110,7254,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,0.13642857142857143,0,0.13642857142857143,0.06821428571428571
1110,1110,7301,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,0.285,0,0.285,0.1425
1110,1110,7302,W2,W2,7302,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,18 FT,0.465,0,0.465,0.2325
1110,1110,8001,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,0.302,0,0.302,0.151
1110,1110,8002,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.094,0,0.094,0.094
1110,1110,8003,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.7687142857142858,0,0.7687142857142858,0.7687142857142858
