ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1130,1130,S,S,18 FT,4003,27
1130,1130,S,S,18 FT,7104,2
1130,1130,S,S,18 FT,8001,5
1130,1130,S,S,18 FT,8002,2
1130,1130,S,S,18 FT,8003,5
1130,1130,S,S,18 FT,8004,4
1130,1130,S,S,18 FT,8005,3
1130,1130,S,S,18 FT,8006,3
1130,1130,S,S,18 FT,8051,3
1130,1130,S,S,18 FT,8052,5
1130,1130,S,S,18 FT,8053,6
1130,1130,S,S,18 FT,8054,8
1130,1130,S,S,18 FT,8055,4
1130,1130,S,S,18 FT,8102,1
1130,1130,S,S,18 FT,8105,1
1130,1130,S,S,18 FT,8151,1
1130,1130,S,S,18 FT,8153,1
1130,1130,S,S,18 FT,8155,2
1130,1130,S,S,18 FT,8156,1
1130,1130,S,S,18 FT,8251,2
1130,1130,S,S,18 FT,8255,1
1130,1130,S,S,18 FT,8257,1
1130,1130,S,S,18 FT,8261,3
1130,1130,S,S,18 FT,8301,3
1130,1130,S,S,18 FT,8302,1
1130,1130,S,S,18 FT,8304,1
1130,1130,S,S,18 FT,8305,2
1130,1130,S,S,18 FT,8306,2
1130,1130,S,S,18 FT,8311,1
1130,1130,S,S,18 FT,8312,2
1130,1130,S,S,18 FT,8351,2
1130,1130,S,S,18 FT,8352,1
1130,1130,S,S,18 FT,8353,2
1130,1130,S,S,18 FT,8354,1
1130,1130,S,S,18 FT,8356,1
1130,1130,S,S,18 FT,400071,9
1130,1130,S,S,18 FT,400196,4
1130,1130,S,S,32 MA,8150,2
1130,1130,S,S,32 MA,8300,6
1130,1130,E6,E6,18 FT,4002,7
1130,1130,E6,E6,18 FT,6004,2
1130,1130,E6,E6,18 FT,6053,1
1130,1130,E6,E6,18 FT,6102,10
1130,1130,E6,E6,18 FT,6103,4
1130,1130,E6,E6,18 FT,6200,1
1130,1130,E6,E6,18 FT,6202,1
1130,1130,E6,E6,18 FT,6204,2
1130,1130,E6,E6,18 FT,6205,1
1130,1130,E6,E6,18 FT,6206,3
1130,1130,E6,E6,18 FT,6207,3
1130,1130,E6,E6,18 FT,400181,9
1130,1130,E6,E6,32 MA,6000,3
1130,1130,E6,E6,32 MA,6053,1
1130,1130,E6,E6,32 MA,6200,4
1130,1130,N8,N8,18 FT,5001,3
1130,1130,N8,N8,18 FT,5002,1
1130,1130,N8,N8,18 FT,5050,8
1130,1130,N8,N8,18 FT,5052,1
1130,1130,N8,N8,18 FT,5053,2
1130,1130,N8,N8,18 FT,5054,2
1130,1130,N8,N8,18 FT,5055,1
1130,1130,N8,N8,18 FT,5061,1
1130,1130,N8,N8,18 FT,5251,2
1130,1130,N8,N8,18 FT,5252,1
1130,1130,N8,N8,18 FT,5301,4
1130,1130,N8,N8,18 FT,5305,4
1130,1130,N8,N8,32 MA,5050,5
1130,1130,N8,N8_1,18 FT,5115,5
