key
1110 - S - S - 18 FT - 120
1110 - S - S - 32 MA - 8
1110 - E1 - E1 - 18 FT - 11
1110 - E1 - E1 - 32 MA - 2
1110 - N3 - N3 - 18 FT - 8
1110 - N3 - N3 - 32 MA - 3
1110 - N2 - N2 - 18 FT - 6
1110 - N2 - N2 - 32 MA - 3
1110 - N1 - N1_1 - 18 FT - 4
1110 - N1 - N1 - 18 FT - 5
1110 - E2 - E2 - 18 FT - 23
1110 - E2 - E2 - 32 MA - 3
1110 - W2 - W2 - 18 FT - 1
1110 - W2 - W2 - 32 MA - 2
1110 - W1 - W1_1 - 18 FT - 2
1110 - W1 - W1_1 - 32 MA - 1
1110 - W1 - W1 - 32 MA - 3
1120 - S - S - 18 FT - 83
1120 - S - S - 32 MA - 8
1120 - E5 - E5 - 18 FT - 14
1120 - E5 - E5 - 32 MA - 4
1120 - N7 - N7 - 18 FT - 46
1120 - N7 - N7 - 32 MA - 7
1120 - W5 - W5 - 18 FT - 28
1120 - W5 - W5 - 32 MA - 9
1130 - S - S - 18 FT - 129
1130 - S - S - 32 MA - 8
1130 - E6 - E6 - 18 FT - 44
1130 - E6 - E6 - 32 MA - 8
1130 - N8 - N8 - 18 FT - 30
1130 - N8 - N8 - 32 MA - 5
1130 - N8 - N8_1 - 18 FT - 19
1130 - N9 - N9 - 18 FT - 59
1130 - N9 - N9 - 32 MA - 8
1130 - W6 - W6 - 18 FT - 145
1130 - W6 - W6 - 32 MA - 12
1140 - S - S - 18 FT - 167
1140 - S - S - 32 MA - 9
1140 - E1 - E1 - 18 FT - 13
1140 - E1 - E1 - 32 MA - 3
1140 - N1 - N1 - 18 FT - 62
1140 - N1 - N1_1 - 18 FT - 8
1140 - N3 - N3 - 18 FT - 25
1140 - N3 - N3 - 32 MA - 8
1140 - N2 - N2 - 18 FT - 25
1140 - N2 - N2 - 32 MA - 6
1140 - E2 - E2 - 18 FT - 25
1140 - E2 - E2 - 32 MA - 4
1140 - W1 - W1_1 - 18 FT - 15
1140 - W1 - W1_1 - 32 MA - 3
1140 - W1 - W1 - 18 FT - 71
1140 - W1 - W1 - 32 MA - 5
1140 - W2 - W2 - 18 FT - 14
1140 - W2 - W2 - 32 MA - 3
1160 - S - S - 18 FT - 139
1160 - S - S - 32 MA - 8
1160 - E1 - E1 - 18 FT - 5
1160 - E1 - E1 - 32 MA - 2
1160 - N1 - N1 - 18 FT - 45
1160 - N1 - N1_1 - 18 FT - 10
1160 - N3 - N3 - 18 FT - 7
1160 - N3 - N3 - 32 MA - 7
1160 - N2 - N2 - 18 FT - 53
1160 - N2 - N2 - 32 MA - 5
1160 - W2 - W2 - 18 FT - 16
1160 - W2 - W2 - 32 MA - 3
1160 - E2 - E2 - 18 FT - 16
1160 - E2 - E2 - 32 MA - 3
1160 - W1 - W1_1 - 18 FT - 15
1160 - W1 - W1_1 - 32 MA - 2
1160 - W1 - W1 - 18 FT - 49
1160 - W1 - W1 - 32 MA - 5
1170 - S - S - 18 FT - 56
1170 - S - S - 32 MA - 6
1170 - E1 - E1 - 18 FT - 40
1170 - E1 - E1 - 32 MA - 3
1170 - N1 - N1 - 18 FT - 3
1170 - N1 - N1_1 - 18 FT - 19
1170 - N3 - N3 - 18 FT - 10
1170 - N3 - N3 - 32 MA - 6
1170 - N2 - N2 - 18 FT - 5
1170 - N2 - N2 - 32 MA - 4
1170 - E2 - E2 - 18 FT - 10
1170 - E2 - E2 - 32 MA - 3
1170 - W1 - W1_1 - 18 FT - 2
1170 - W1 - W1_1 - 32 MA - 3
1170 - W1 - W1 - 18 FT - 19
1170 - W1 - W1 - 32 MA - 5
1170 - W2 - W2 - 18 FT - 7
1170 - W2 - W2 - 32 MA - 3
1190 - S - S - 18 FT - 93
1190 - S - S - 32 MA - 9
1190 - E1 - E1 - 18 FT - 3
1190 - E1 - E1 - 32 MA - 2
1190 - N3 - N3 - 18 FT - 2
1190 - N3 - N3 - 32 MA - 6
1190 - N1 - N1_1 - 18 FT - 3
1190 - N1 - N1 - 18 FT - 1
1190 - E2 - E2 - 18 FT - 5
1190 - E2 - E2 - 32 MA - 4
1190 - W1 - W1_1 - 18 FT - 4
1190 - W1 - W1_1 - 32 MA - 3
1190 - W1 - W1 - 18 FT - 24
1190 - W1 - W1 - 32 MA - 5
1190 - W2 - W2 - 18 FT - 4
1190 - W2 - W2 - 32 MA - 3
1190 - N2 - N2 - 32 MA - 5
1150/1180 - E3 - E3 - 18 FT - 1
1150/1180 - N5 - N5 - 18 FT - 2
1150/1180 - E4 - E4 - 18 FT - 9
1150/1180 - W3 - W3_1 - 18 FT - 1
1150/1180 - W3 - W3 - 18 FT - 5
1150/1180 - W4 - W4 - 18 FT - 1

