Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck
1110,1110,4000,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,22.62278865933725
1110,1110,4001,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,19.77376397515528
1110,1110,4002,E1,E1,,EXPORT,32 MA,32 MA,,,,,18 FT,5.3120652173913046
1110,1110,4003,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,29.96183850931677
1110,1110,5040,N3,N3,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,4.0155
1110,1110,5050,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,2.8724285714285718
1110,1110,5051,N3,N3,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.045
1110,1110,5053,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.46622222222222226
1110,1110,5054,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.23928571428571427
1110,1110,5055,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.28
1110,1110,5061,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.23444444444444446
1110,1110,5071,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.16533333333333333
1110,1110,5101,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.14285714285714285
1110,1110,5102,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.235
1110,1110,5104,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.02
1110,1110,5106,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.226
1110,1110,5112,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.5742857142857143
1110,1110,5114,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.02857142857142857
1110,1110,5115,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.108
1110,1110,5116,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.17142857142857143
1110,1110,5120,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,4.297109243697479
1110,1110,5151,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.6751428571428572
1110,1110,5152,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.9711111111111111
1110,1110,5153,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.305
1110,1110,5155,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,2.2896666666666667
1110,1110,5156,W2,W2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.045
1110,1110,5157,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.3018571428571428
1110,1110,5201,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.8998412698412699
