Plant,SalesOffice,Material,Demand
1170,6201,11332580,10
1170,6102,11332580,45
1170,6053,11332580,39
1170,6013,11332580,27
1170,6011,11332580,6
1170,6001,11332580,68
1170,5307,11332580,43
1170,5306,11332580,25
1170,5206,11332580,21
1170,5203,11332580,96
1170,5201,11332580,7
1170,5156,11332580,84
1170,5155,11332580,30
1170,5152,11332580,184
1170,5151,11332580,84
1170,5115,11332580,69
1170,5114,11332580,17
1170,5112,11332580,35
1170,5111,11332580,31
1170,5109,11332580,5
1170,5107,11332580,50
1170,5106,11332580,22
1170,5104,11332580,112
1170,5101,11332580,6
1170,5061,11332580,14
1170,5054,11332580,12
1170,5051,11332580,89
1170,5004,11332580,11
1170,5002,11332580,53
1170,4002,11332580,50
1160,7151,11332580,0
1160,5155,11332580,0
1170,8355,11331980,8
1170,8354,11331980,9
1170,8353,11331980,37
1170,8352,11331980,29
1170,8311,11331980,46
1170,8305,11331980,61
1170,8304,11331980,17
1170,8301,11331980,7
1170,8300,11331980,37
1170,8254,11331980,16
1170,8156,11331980,33
1170,8153,11331980,63
1170,8151,11331980,43
1170,8107,11331980,6
1170,8106,11331980,16
1170,8104,11331980,12
1170,8102,11331980,29
1170,8054,11331980,11
1170,8006,11331980,15
1170,8003,11331980,21
1170,8002,11331980,23
1170,8001,11331980,17
1170,7302,11331980,40
1170,7254,11331980,8
1170,7251,11331980,29
1170,7161,11331980,7
1170,7157,11331980,24
1170,7152,11331980,59
1170,7151,11331980,33
1170,7150,11331980,25
1170,7105,11331980,5
1170,7104,11331980,16
1170,7102,11331980,59
1170,7053,11331980,25
1170,7052,11331980,7
1170,7051,11331980,22
1170,7002,11331980,55
1170,7000,11331980,9
1170,5157,11331980,6
1170,5155,11331980,37
1170,5153,11331980,13
1170,5112,11331980,10
1170,5111,11331980,0
1170,5109,11331980,20
1170,5107,11331980,68
1170,5103,11331980,28
1170,5054,11331980,7
1170,5001,11331980,32
1160,8258,11331980,20
1160,8257,11331980,12
1160,8256,11331980,30
1160,8255,11331980,50
1160,8253,11331980,18
1160,8252,11331980,75
1160,8251,11331980,26
1160,8155,11331980,19
1160,8055,11331980,14
1160,8053,11331980,23
1160,7004,11331980,16
1160,6207,11331980,24
1160,6206,11331980,42
1160,6205,11331980,7
1160,6204,11331980,21
1160,6203,11331980,5
1160,6201,11331980,27
1160,6104,11331980,14
1160,6103,11331980,25
1160,6102,11331980,103
1160,6053,11331980,115
1160,6013,11331980,25
1160,6012,11331980,5
1160,6004,11331980,14
1160,6003,11331980,0
1160,5305,11331980,10
1160,5303,11331980,13
1160,5252,11331980,7
1160,5251,11331980,20
1160,5206,11331980,17
1160,5203,11331980,18
1160,5201,11331980,43
1160,5156,11331980,34
1160,5155,11331980,0
1160,5120,11331980,20
1160,5115,11331980,13
1160,5114,11331980,15
1160,5106,11331980,9
1160,5104,11331980,40
1160,5102,11331980,11
1160,5061,11331980,28
1160,5054,11331980,1
1160,5051,11331980,9
1160,5050,11331980,41
1160,5006,11331980,7
1160,5004,11331980,22
1160,4002,11331980,5
1170,8005,11322980,20
1170,8001,11322980,60
1170,7302,11322980,30
1170,7102,11322980,10
1170,6053,11322980,10
1140,8355,16340150,14
1140,8354,16340150,5
1140,8352,16340150,16
1140,8351,16340150,37
