ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,TruckDemandFinal,TruckDemandFinalCeil
1110,1110,S,S,18 FT,4000,23,23
1110,1110,S,S,18 FT,4001,20,20
1110,1110,S,S,18 FT,4003,30,30
1110,1110,S,S,18 FT,8003,1,1
1110,1110,S,S,18 FT,8005,1,1
1110,1110,S,S,18 FT,8150,4,4
1110,1110,S,S,18 FT,8156,1,1
1110,1110,S,S,18 FT,8251,2,2
1110,1110,S,S,18 FT,8252,2,2
1110,1110,S,S,18 FT,8255,1,1
1110,1110,S,S,18 FT,8256,1,1
1110,1110,S,S,18 FT,8300,5,5
1110,1110,S,S,18 FT,8301,1,1
1110,1110,S,S,18 FT,8303,1,1
1110,1110,S,S,18 FT,8304,1,1
1110,1110,S,S,18 FT,8305,1,1
1110,1110,S,S,18 FT,8306,1,1
1110,1110,S,S,18 FT,8351,1,1
1110,1110,S,S,18 FT,8353,1,1
1110,1110,S,S,18 FT,8354,2,2
1110,1110,S,S,18 FT,8355,1,1
1110,1110,S,S,18 FT,8356,1,1
1110,1110,S,S,18 FT,400024,6,6
1110,1110,S,S,18 FT,400047,6,6
1110,1110,S,S,18 FT,400054,4,4
1110,1110,S,S,18 FT,400063,2,2
1110,1110,S,S,32 MA,8150,2.0030228758169932,3
1110,1110,S,S,32 MA,8300,4.758294888970081,5
1110,1110,E1,E1,18 FT,4002,6,6
1110,1110,E1,E1,18 FT,6200,1,1
1110,1110,E1,E1,18 FT,6203,2,2
1110,1110,E1,E1,18 FT,6204,1,1
1110,1110,E1,E1,18 FT,6206,1,1
1110,1110,E1,E1,32 MA,6200,1.8030041407867494,2
1110,1110,N3,N3,18 FT,5040,4,4
1110,1110,N3,N3,18 FT,5120,4,4
1110,1110,N3,N3,32 MA,5040,1.369761904761905,2
1110,1110,N3,N3,32 MA,5120,0.8926260504201681,1
1110,1110,N2,N2,18 FT,5050,2,2
1110,1110,N2,N2,18 FT,5301,2,2
1110,1110,N2,N2,18 FT,400044,2,2
1110,1110,N2,N2,32 MA,5050,2.8550158730158737,3
1110,1110,N1,N1_1,18 FT,5155,2,2
1110,1110,N1,N1_1,18 FT,5206,2,2
1110,1110,N1,N1,18 FT,400057,5,5
1110,1110,E2,E2,18 FT,6000,2,2
1110,1110,E2,E2,18 FT,6001,2,2
1110,1110,E2,E2,18 FT,6003,2,2
1110,1110,E2,E2,18 FT,6004,3,3
1110,1110,E2,E2,18 FT,6011,1,1
1110,1110,E2,E2,18 FT,6012,2,2
1110,1110,E2,E2,18 FT,6013,2,2
1110,1110,E2,E2,18 FT,6053,2,2
1110,1110,E2,E2,18 FT,6102,3,3
1110,1110,E2,E2,18 FT,6103,1,1
1110,1110,E2,E2,18 FT,6104,1,1
1110,1110,E2,E2,18 FT,400062,1,1
1110,1110,E2,E2,18 FT,400307,1,1
1110,1110,E2,E2,32 MA,6000,1.5994714850367027,2
1110,1110,E2,E2,32 MA,6053,0.2687857142857144,1
1110,1110,W2,W2,18 FT,7250,1,1
1110,1110,W2,W2,32 MA,7250,0.9714285714285713,1
1110,1110,W2,W2,32 MA,7302,0.2325,1
