Plant,SalesOffice,Material,Demand
1120,4001,74065140,0
1120,4000,74065140,0
1120,4000,50087000,0
1120,4003,50087000,0
1160,4003,50053900,1000
1160,4001,50053900,1000
1160,4000,50053900,4667
1150,4003,50053900,0
1150,4001,50053900,0
1150,4000,50053900,0
1120,4000,50021400,1500
1120,4001,50021400,0
1120,4003,50021400,0
1150,4000,50084500,0
1130,4000,50011510,0
1140,4001,50084500,3333
1150,4000,50084000,0
1140,4000,50084000,3333
1140,4001,50084000,0
1120,4001,50084000,0
1140,4003,50064000,1000
1120,4000,33071500,233
1140,4000,50064000,0
1120,4000,33011000,83
1120,4000,45375500,333
1120,4000,45375300,0
1120,4003,31079000,1000
1120,4000,31321000,667
1120,4000,31339000,0
1150,4003,31051300,980
1120,4001,31051300,0
1120,4003,31051300,0
1150,4001,31051300,500
1120,4000,31051300,500
1150,4003,31031300,2000
1120,4003,31031300,1333
1120,4003,31021000,0
1120,4001,31021000,0
1120,4000,31021000,4
1140,4000,38340510,0
1140,4000,38363510,0
1120,4000,31011000,1
1120,4003,31011000,0
1140,4000,38310500,0
1150,4000,38031500,667
1140,4000,39031500,510
1140,4000,39033500,667
1140,4000,36091500,817
1140,4000,36381000,0
1140,4000,36082000,2000
1140,4001,36049100,1167
1140,4003,36049100,500
1140,4000,36049100,0
1150,4001,36021300,34
1140,4000,36021300,0
1140,4001,36021300,150
1150,4001,36011300,3667
1150,4003,36011300,0
1150,4000,36011300,0
1140,4003,36011300,1000
1140,4000,36011300,2000
1140,4001,36011300,0
1120,4000,34071000,167
1120,4000,36011300,0
1120,4001,36011300,0
1140,4000,34069100,50
1140,4000,34051500,46
1140,4000,47051500,1667
1140,4000,32061300,1000
1150,4000,40186500,0
1150,4000,40181500,5000
1140,4000,40173500,0
1140,4000,40181500,0
1140,4000,40031500,3333
1150,4000,46051500,0
1140,4000,46031500,5333
1150,4000,46031500,3000
1160,4000,25399090,67
1160,4000,26307000,0
1160,4000,25398490,79
1170,4000,25397290,0
1170,4000,25398480,47
1170,4000,25398280,0
1160,4000,25398280,75
1170,4000,25395480,207
1170,4000,25388880,239
1160,4000,25371690,7
1170,4000,25389080,400
1170,4000,25387480,87
1160,4000,25375300,70
1160,4001,25375390,500
1160,4000,25337680,0
1160,4000,25335280,15
1160,4000,25323490,0
1160,4000,12391970,5
1160,4000,12378570,12
1160,4000,12371970,67
1160,4000,12361780,4
1160,4000,11371780,7
1170,4000,11332580,250
1160,4000,11351770,23
1160,4000,11333380,167
1170,4000,11331980,0
1170,4000,11322980,0
1160,4000,11331980,100
1170,4000,11321980,42
1160,4000,11322580,1
1140,4000,16340150,0
1160,4000,11313390,33
1160,4000,19364540,0
1180,4000,18391120,7
1140,4000,18360180,0
1160,4000,18381460,97
1160,4000,18340710,258
1160,4000,18340960,17
1140,4000,18340650,0
1180,4000,18311100,17
1140,4000,18310760,0
1140,4000,18181230,7
1180,4000,16371080,7
1140,4000,18181130,7
1180,4000,16360340,0
1160,4000,16361020,20
1160,4000,16350620,2
1160,4000,16341020,1018
1160,4000,16333040,0
1140,4000,16340880,100
1160,4000,16340940,0
1160,4000,16332020,6
